Time: 1591953309, Messages: 0, Members Joined: 0
Time: 1591953314, Messages: 1, Members Joined: 0
Time: 1591953319, Messages: 0, Members Joined: 0
Time: 1591953324, Messages: 0, Members Joined: 0
Time: 1591953329, Messages: 0, Members Joined: 0
Time: 1591953334, Messages: 0, Members Joined: 0
Time: 1591953339, Messages: 0, Members Joined: 0
Time: 1591953344, Messages: 0, Members Joined: 0
Time: 1591953349, Messages: 0, Members Joined: 0
Time: 1591953354, Messages: 2, Members Joined: 0
Time: 1591953359, Messages: 0, Members Joined: 0
Time: 1591953364, Messages: 0, Members Joined: 0
Time: 1591953369, Messages: 0, Members Joined: 0
Time: 1591953374, Messages: 0, Members Joined: 0
Time: 1591953379, Messages: 1, Members Joined: 0
Time: 1591953384, Messages: 1, Members Joined: 0
Time: 1591953389, Messages: 0, Members Joined: 0
Time: 1591953394, Messages: 0, Members Joined: 0
Time: 1591953399, Messages: 0, Members Joined: 0
Time: 1591953404, Messages: 0, Members Joined: 0
Time: 1591953409, Messages: 0, Members Joined: 0
Time: 1591953414, Messages: 0, Members Joined: 0
Time: 1591953419, Messages: 0, Members Joined: 0
Time: 1591953424, Messages: 0, Members Joined: 0
Time: 1591953429, Messages: 0, Members Joined: 0
Time: 1591953434, Messages: 0, Members Joined: 0
Time: 1591953439, Messages: 0, Members Joined: 0
Time: 1591953444, Messages: 0, Members Joined: 0
Time: 1591953449, Messages: 0, Members Joined: 0
Time: 1591953454, Messages: 0, Members Joined: 0
Time: 1591953459, Messages: 0, Members Joined: 0
Time: 1591953464, Messages: 0, Members Joined: 0
Time: 1591953469, Messages: 0, Members Joined: 0
Time: 1591953474, Messages: 0, Members Joined: 0
Time: 1591953479, Messages: 0, Members Joined: 0
Time: 1591953484, Messages: 0, Members Joined: 0
Time: 1591953489, Messages: 0, Members Joined: 0
Time: 1591953494, Messages: 0, Members Joined: 0
Time: 1591953499, Messages: 0, Members Joined: 0
Time: 1591953504, Messages: 0, Members Joined: 0
Time: 1591953509, Messages: 0, Members Joined: 0
Time: 1591953514, Messages: 0, Members Joined: 0
Time: 1591953519, Messages: 0, Members Joined: 0
